flow #272: size: 10, rem_Size: 0, arrived: 235, src\dst:[21,7], FCT: 5137
flow #273: size: 15, rem_Size: 0, arrived: 619, src\dst:[21,8], FCT: 4965
flow #274: size: 4, rem_Size: 0, arrived: 1103, src\dst:[21,9], FCT: 3975
flow #275: size: 48, rem_Size: 0, arrived: 1487, src\dst:[21,10], FCT: 3471
flow #276: size: 5, rem_Size: 0, arrived: 1382, src\dst:[21,14], FCT: 3075
flow #277: size: 102, rem_Size: 0, arrived: 1378, src\dst:[21,16], FCT: 2946
flow #278: size: 10, rem_Size: 0, arrived: 699, src\dst:[21,17], FCT: 4519
flow #279: size: 9, rem_Size: 0, arrived: 207, src\dst:[21,19], FCT: 5398
flow #280: size: 4, rem_Size: 0, arrived: 304, src\dst:[21,20], FCT: 4750
flow #281: size: 8, rem_Size: 0, arrived: 1664, src\dst:[21,21], FCT: 3096
flow #282: size: 49, rem_Size: 0, arrived: 2335, src\dst:[21,25], FCT: 2205
flow #283: size: 16, rem_Size: 0, arrived: 1455, src\dst:[21,28], FCT: 4213
flow #284: size: 20, rem_Size: 0, arrived: 2986, src\dst:[22,2], FCT: 2298
flow #285: size: 100, rem_Size: 0, arrived: 1532, src\dst:[22,5], FCT: 3686
flow #286: size: 47, rem_Size: 0, arrived: 1528, src\dst:[22,6], FCT: 3930
flow #287: size: 11, rem_Size: 0, arrived: 2687, src\dst:[22,7], FCT: 2918
flow #288: size: 89, rem_Size: 0, arrived: 156, src\dst:[22,15], FCT: 5512
flow #289: size: 5, rem_Size: 0, arrived: 1315, src\dst:[22,18], FCT: 4122
flow #290: size: 19, rem_Size: 0, arrived: 1024, src\dst:[22,19], FCT: 4304
flow #291: size: 13, rem_Size: 0, arrived: 2571, src\dst:[22,21], FCT: 2435
flow #292: size: 1, rem_Size: 0, arrived: 1016, src\dst:[22,25], FCT: 3330
flow #293: size: 16, rem_Size: 0, arrived: 1787, src\dst:[22,26], FCT: 2378
flow #294: size: 21, rem_Size: 0, arrived: 1884, src\dst:[22,29], FCT: 3637
flow #295: size: 2, rem_Size: 0, arrived: 717, src\dst:[22,31], FCT: 4589
flow #296: size: 80, rem_Size: 0, arrived: 1101, src\dst:[23,0], FCT: 4378
flow #297: size: 17, rem_Size: 0, arrived: 2547, src\dst:[23,4], FCT: 2890
flow #298: size: 6, rem_Size: 0, arrived: 1380, src\dst:[23,8], FCT: 3816
flow #299: size: 16, rem_Size: 0, arrived: 1864, src\dst:[23,9], FCT: 2604
flow #300: size: 16, rem_Size: 0, arrived: 2736, src\dst:[23,11], FCT: 1968
flow #301: size: 70, rem_Size: 0, arrived: 375, src\dst:[23,16], FCT: 5251
flow #302: size: 25, rem_Size: 0, arrived: 1721, src\dst:[23,17], FCT: 3842
flow #303: size: 2, rem_Size: 0, arrived: 166, src\dst:[23,19], FCT: 5206
flow #304: size: 113, rem_Size: 0, arrived: 2473, src\dst:[23,25], FCT: 3195
flow #305: size: 22, rem_Size: 0, arrived: 2282, src\dst:[23,26], FCT: 3239
flow #306: size: 5, rem_Size: 0, arrived: 828, src\dst:[23,27], FCT: 4819
flow #307: size: 87, rem_Size: 0, arrived: 824, src\dst:[23,29], FCT: 4230
flow #308: size: 3, rem_Size: 0, arrived: 2557, src\dst:[24,1], FCT: 2922
flow #309: size: 11, rem_Size: 0, arrived: 328, src\dst:[24,4], FCT: 5256
flow #310: size: 24, rem_Size: 0, arrived: 1200, src\dst:[24,6], FCT: 3560
flow #311: size: 2, rem_Size: 0, arrived: 2848, src\dst:[24,7], FCT: 2392
flow #312: size: 16, rem_Size: 0, arrived: 1006, src\dst:[24,8], FCT: 3726
